Amount,transaction_hour,high_value,is_fraud,risk_score
49.95,0,0,0,1
9.12,0,0,0,1
104.94,0,0,0,1
4.68,0,0,0,1
62.92,0,0,0,1
18.31,0,0,0,1
80.0,0,0,0,1
32.51,0,0,0,1
39.95,0,0,0,1
68.74,0,0,0,1
79.0,0,0,0,1
5.9,0,0,0,1
7.69,0,0,0,1
79.91,0,0,0,1
552.18,0,0,0,1
67.3,0,0,0,1
21.97,0,0,0,1
4.99,0,0,0,1
11.99,0,0,0,1
124.67,0,0,0,1
919.6,0,0,0,1
30.9,0,0,0,1
459.39,0,0,0,1
37.13,0,0,0,1
1.98,0,0,0,1
15.89,0,0,0,1
8.95,0,0,0,1
268.78,0,0,0,1
2.99,0,0,0,1
322.44,0,0,0,1
937.69,0,0,0,1
69.0,0,0,0,1
2.28,0,0,0,1
7.21,0,0,0,1
1.29,0,0,0,1
17.8,0,0,0,1
14.98,0,0,0,1
159.0,0,0,0,1
142.71,0,0,0,1
84.39,0,0,0,1
182.95,0,0,0,1
23.27,0,0,0,1
9.99,0,0,0,1
4.19,0,0,0,1
3828.04,0,1,0,3
35.97,0,0,0,1
1.0,0,0,0,1
24.57,0,0,0,1
1.0,0,0,0,1
148.43,0,0,0,1
25.8,0,0,0,1
110.4,0,0,0,1
13.95,0,0,0,1
9.99,0,0,0,1
937.69,0,0,0,1
54.99,0,0,0,1
31.17,0,0,0,1
23.88,0,0,0,1
4.49,0,0,0,1
137.0,0,0,0,1
37.89,0,0,0,1
82.29,0,0,0,1
2.69,0,0,0,1
20.0,0,0,0,1
29.99,0,0,0,1
40.0,0,0,0,1
160.86,0,0,0,1
8.93,0,0,0,1
6.24,0,0,0,1
230.0,0,0,0,1
43.71,0,0,0,1
165.55,0,0,0,1
113.0,0,0,0,1
1.54,0,0,0,1
10.0,0,0,0,1
8.8,0,0,0,1
5.97,0,0,0,1
15.93,0,0,0,1
10.0,0,0,0,1
3.87,0,0,0,1
10.0,0,0,0,1
35.97,0,0,0,1
22.37,0,0,0,1
4.57,0,0,0,1
23.57,0,0,0,1
13.99,0,0,0,1
226.07,0,0,0,1
148.81,0,0,0,1
58.0,0,0,0,1
1.29,0,0,0,1
65.0,0,0,0,1
11.0,0,0,0,1
257.3,0,0,0,1
169.0,0,0,0,1
9.9,0,0,0,1
9.99,0,0,0,1
4.9,0,0,0,1
39.95,0,0,0,1
15.36,0,0,0,1
9.9,0,0,0,1
6.0,0,0,0,1
6.0,0,0,0,1
6.74,0,0,0,1
6.74,0,0,0,1
170.43,0,0,0,1
0.89,0,0,0,1
0.89,0,0,0,1
614.87,0,0,0,1
22.99,0,0,0,1
71.26,0,0,0,1
127.69,0,0,0,1
1.98,0,0,0,1
6.45,0,0,0,1
1.29,0,0,0,1
184.31,0,0,0,1
500.0,0,0,0,1
10.0,0,0,0,1
1.79,0,0,0,1
10.0,0,0,0,1
20.0,0,0,0,1
700.0,0,0,0,1
22.0,0,0,0,1
2.28,0,0,0,1
65.26,0,0,0,1
0.99,0,0,0,1
1.0,0,0,0,1
44.2,0,0,0,1
5.42,0,0,0,1
42.9,0,0,0,1
355.51,0,0,0,1
0.89,0,0,0,1
71.69,0,0,0,1
2.29,0,0,0,1
1.29,0,0,0,1
27.99,0,0,0,1
23.63,0,0,0,1
48.0,0,0,0,1
318.5,0,0,0,1
6.47,0,0,0,1
224.97,0,0,0,1
75.83,0,0,0,1
1.98,0,0,0,1
1.98,0,0,0,1
4.65,0,0,0,1
23.32,0,0,0,1
8.09,0,0,0,1
82.29,0,0,0,1
99.95,0,0,0,1
20.0,0,0,0,1
127.75,0,0,0,1
20.7,0,0,0,1
1.79,0,0,0,1
37.2,0,0,0,1
1.0,0,0,0,1
32.77,0,0,0,1
5.99,0,0,0,1
0.89,0,0,0,1
63.9,0,0,0,1
6.45,0,0,0,1
61.18,0,0,0,1
9.99,0,0,0,1
196.7,0,0,0,1
79.0,0,0,0,1
137.3,0,0,0,1
39.94,0,0,0,1
1.98,0,0,0,1
12.99,0,0,0,1
153.91,0,0,0,1
101.0,0,0,0,1
10.27,0,0,0,1
8.97,0,0,0,1
1.19,0,0,0,1
45.0,0,0,0,1
95.56,0,0,0,1
13.99,0,0,0,1
12.99,0,0,0,1
526.96,0,0,0,1
70.0,0,0,0,1
4.38,0,0,0,1
12.99,0,0,0,1
24.0,0,0,0,1
1.0,0,0,0,1
17.56,0,0,0,1
12.99,0,0,0,1
18.96,0,0,0,1
22.58,0,0,0,1
99.82,0,0,0,1
25.36,0,0,0,1
7.81,0,0,0,1
18.61,0,0,0,1
49.99,0,0,0,1
17.24,0,0,0,1
34.0,0,0,0,1
35.11,0,0,0,1
1.0,0,0,0,1
29.95,0,0,0,1
45.3,0,0,0,1
79.18,0,0,0,1
26.98,0,0,0,1
1.98,0,0,0,1
42.81,0,0,0,1
25.0,0,0,0,1
0.99,0,0,0,1
7.14,0,0,0,1
9.99,0,0,0,1
32.51,0,0,0,1
8.99,0,0,0,1
10.0,0,0,0,1
10.62,0,0,0,1
4.81,0,0,0,1
12.2,0,0,0,1
12.31,0,0,0,1
2.69,0,0,0,1
100.37,0,0,0,1
1.5,0,0,0,1
1.98,0,0,0,1
2.98,0,0,0,1
18.94,0,0,0,1
10.0,0,0,0,1
13.28,0,0,0,1
5.96,0,0,0,1
31.8,0,0,0,1
120.0,0,0,0,1
24.0,0,0,0,1
231.71,0,0,0,1
13.53,0,0,0,1
18.45,0,0,0,1
1.98,0,0,0,1
13.79,0,0,0,1
20.17,0,0,0,1
9.99,0,0,0,1
55.45,0,0,0,1
0.99,0,0,0,1
26.5,0,0,0,1
99.0,0,0,0,1
5.46,0,0,0,1
1.98,0,0,0,1
49.99,0,0,0,1
24.84,0,0,0,1
13.08,0,0,0,1
9.03,0,0,0,1
1.0,0,0,0,1
10.35,0,0,0,1
14.9,0,0,0,1
154.4,0,0,0,1
122.36,0,0,0,1
2.28,0,0,0,1
6.54,0,0,0,1
2.6,0,0,0,1
6.47,0,0,0,1
52.95,0,0,0,1
0.89,0,0,0,1
5.99,0,0,0,1
208.38,0,0,0,1
32.51,0,0,0,1
6.51,0,0,0,1
18.0,0,0,0,1
1.98,0,0,0,1
70.33,0,0,0,1
2.69,0,0,0,1
19.29,0,0,0,1
8.99,0,0,0,1
109.15,0,0,0,1
0.0,0,0,0,1
27.0,0,0,0,1
2.0,0,0,0,1
11.64,0,0,0,1
94.5,0,0,0,1
2.31,0,0,0,1
7.89,0,0,0,1
1.0,0,0,0,1
11.99,0,0,0,1
302.1,0,0,0,1
30.3,0,0,0,1
8.99,0,0,0,1
160.0,0,0,0,1
380.95,0,0,0,1
156.98,0,0,0,1
6.54,0,0,0,1
74.47,0,0,0,1
30.5,0,0,0,1
85.0,0,0,0,1
67.36,0,0,0,1
101.0,0,0,0,1
4.45,0,0,0,1
23.88,0,0,0,1
5.0,0,0,0,1
73.0,0,0,0,1
33.33,0,0,0,1
6.86,0,0,0,1
54.75,0,0,0,1
6.2,0,0,0,1
12.31,0,0,0,1
13.99,0,0,0,1
36.0,0,0,0,1
1.91,0,0,0,1
90.0,0,0,0,1
9.99,0,0,0,1
2.95,0,0,0,1
90.0,0,0,0,1
1.98,0,0,0,1
379.63,0,0,0,1
52.9,0,0,0,1
9.97,0,0,0,1
60.0,0,0,0,1
1.0,0,0,0,1
14.6,0,0,0,1
7.8,0,0,0,1
22.09,0,0,0,1
222.5,0,0,0,1
11.5,0,0,0,1
8.58,0,0,0,1
140.6,0,0,0,1
493.44,0,0,0,1
33.26,0,0,0,1
15.08,0,0,0,1
68.0,0,0,0,1
11.46,0,0,0,1
69.99,0,0,0,1
19.99,0,0,0,1
7.69,0,0,0,1
10.0,0,0,0,1
1.79,0,0,0,1
9.99,0,0,0,1
29.56,0,0,0,1
0.77,0,0,0,1
52.0,0,0,0,1
0.89,0,0,0,1
17.24,0,0,0,1
36.71,0,0,0,1
2.5,0,0,0,1
55.76,0,0,0,1
32.38,0,0,0,1
0.89,0,0,0,1
11.34,0,0,0,1
75.0,0,0,0,1
216.0,0,0,0,1
1.03,0,0,0,1
4.8,0,0,0,1
7.72,0,0,0,1
2.0,0,0,0,1
98.0,0,0,0,1
47.0,0,0,0,1
0.99,0,0,0,1
22.0,0,0,0,1
62.63,0,0,0,1
197.63,0,0,0,1
75.83,0,0,0,1
456.71,0,0,0,1
6.0,0,0,0,1
5.0,0,0,0,1
10.99,0,0,0,1
204.03,0,0,0,1
3.99,0,0,0,1
12.99,0,0,0,1
13.99,0,0,0,1
2.67,0,0,0,1
12.87,0,0,0,1
611.76,0,0,0,1
2.31,0,0,0,1
11.38,0,0,0,1
23.88,0,0,0,1
2.61,0,0,0,1
19.64,0,0,0,1
20.48,0,0,0,1
105.87,0,0,0,1
15.0,0,0,0,1
0.75,0,0,0,1
17.43,0,0,0,1
41.64,0,0,0,1
1.29,0,0,0,1
0.89,0,0,0,1
79.0,0,0,0,1
37.92,0,0,0,1
74.22,0,0,0,1
0.68,0,0,0,1
9.99,0,0,0,1
97.47,0,0,0,1
1.29,0,0,0,1
1.98,0,0,0,1
1.98,0,0,0,1
1.0,0,0,0,1
32.63,0,0,0,1
1.98,0,0,0,1
4.79,0,0,0,1
10.29,0,0,0,1
1.79,0,0,0,1
29.18,0,0,0,1
12.89,0,0,0,1
4.45,0,0,0,1
11.39,0,0,0,1
40.83,0,0,0,1
85.25,0,0,0,1
881.13,0,0,0,1
0.0,0,0,0,1
9.99,0,0,0,1
45.38,0,0,0,1
17.99,0,0,0,1
16.0,0,0,0,1
510.22,0,0,0,1
1.0,0,0,0,1
575.33,0,0,0,1
10.0,0,0,0,1
12.99,0,0,0,1
9.99,0,0,0,1
8.93,0,0,0,1
29.95,0,0,0,1
27.7,0,0,0,1
82.29,0,0,0,1
64.04,0,0,0,1
1.0,0,0,0,1
1.55,0,0,0,1
15.19,0,0,0,1
0.01,0,0,0,1
0.0,0,0,0,1
411.88,0,0,0,1
52.4,0,0,0,1
15.0,0,0,0,1
0.99,0,0,0,1
27.13,0,0,0,1
1.98,0,0,0,1
0.0,0,0,1,4
46.68,0,0,0,1
146.25,0,0,0,1
7.3,0,0,0,1
0.77,0,0,0,1
72.0,0,0,0,1
56.09,0,0,0,1
39.77,0,0,0,1
0.89,0,0,0,1
235.7,0,0,0,1
10.0,0,0,0,1
40.0,0,0,0,1
57.5,0,0,0,1
30.0,0,0,0,1
29.99,0,0,0,1
1.0,0,0,0,1
24.02,0,0,0,1
8.61,0,0,0,1
29.99,0,0,0,1
0.89,0,0,0,1
10.69,0,0,0,1
12.41,0,0,0,1
1.0,0,0,0,1
60.92,0,0,0,1
43.34,0,0,0,1
3.75,0,0,0,1
3.59,0,0,0,1
16.19,0,0,0,1
4.95,0,0,0,1
11.36,0,0,0,1
12.98,0,0,0,1
539.17,0,0,0,1
246.96,0,0,0,1
10.0,0,0,0,1
0.0,0,0,0,1
2.31,0,0,0,1
30.0,0,0,0,1
102.13,0,0,0,1
22.03,0,0,0,1
34.27,0,0,0,1
5.31,0,0,0,1
25.03,0,0,0,1
15.8,0,0,0,1
2.0,0,0,0,1
8.49,0,0,0,1
3.67,0,0,0,1
0.77,0,0,0,1
9.27,0,0,0,1
50.0,0,0,0,1
2.23,0,0,0,1
77.98,0,0,0,1
46.77,0,0,0,1
399.07,0,0,0,1
17.99,0,0,0,1
64.0,0,0,0,1
11.99,0,0,0,1
10.2,0,0,0,1
75.65,0,0,0,1
49.98,0,0,0,1
92.91,0,0,0,1
9.65,0,0,0,1
1.98,0,0,0,1
121.48,0,0,0,1
2.72,0,0,0,1
13.0,0,0,0,1
2.99,0,0,0,1
6.99,0,0,0,1
50.78,0,0,0,1
13.49,0,0,0,1
79.0,0,0,0,1
2.85,0,0,0,1
13.99,0,0,0,1
55.0,0,0,0,1
37.57,0,0,0,1
1.0,0,0,0,1
11.99,0,0,0,1
1.48,0,0,0,1
7.69,0,0,0,1
20.0,0,0,0,1
48.0,0,0,0,1
0.92,0,0,0,1
17.57,0,0,0,1
529.0,0,0,1,4
59.88,0,0,0,1
1.0,0,0,0,1
9.51,0,0,0,1
1.79,0,0,0,1
10.0,0,0,0,1
79.0,0,0,0,1
1.0,0,0,0,1
0.75,0,0,0,1
732.0,0,0,0,1
1015.61,0,0,0,1
11.5,0,0,0,1
20.74,0,0,0,1
4.42,0,0,0,1
158.0,0,0,0,1
49.9,0,0,0,1
1.0,0,0,0,1
99.9,0,0,0,1
7.48,0,0,0,1
91.76,0,0,0,1
8.99,0,0,0,1
64.99,0,0,0,1
139.75,0,0,0,1
3.44,0,0,0,1
254.41,0,0,0,1
18.45,0,0,0,1
9.99,0,0,0,1
10.0,0,0,0,1
632.4,0,0,0,1
67.94,0,0,0,1
54.99,0,0,0,1
834.84,0,0,0,1
29.0,0,0,0,1
16.5,0,0,0,1
50.99,0,0,0,1
8.83,0,0,0,1
5.0,0,0,0,1
1.98,0,0,0,1
22.83,0,0,0,1
92.82,0,0,0,1
3.0,0,0,0,1
45.56,0,0,0,1
268.93,0,0,0,1
712.82,0,0,0,1
24.9,0,0,0,1
2.27,0,0,0,1
22.77,0,0,0,1
114.0,0,0,0,1
6.99,0,0,0,1
8.28,0,0,0,1
1.99,0,0,0,1
35.93,0,0,0,1
8.93,0,0,0,1
37.96,0,0,0,1
80.0,0,0,0,1
4.69,0,0,0,1
7.0,0,0,0,1
1.0,0,0,0,1
64.0,0,0,0,1
36.61,0,0,0,1
30.49,0,0,0,1
10.0,0,0,0,1
59.9,0,0,0,1
4.45,0,0,0,1
9.99,0,0,0,1
0.89,0,0,0,1
69.99,0,0,0,1
39.05,0,0,0,1
15.19,0,0,0,1
42.64,0,0,0,1
37.89,0,0,0,1
52.05,0,0,0,1
59.9,0,0,0,1
79.54,0,0,0,1
3.71,0,0,0,1
25.41,0,0,0,1
1.5,0,0,0,1
1.98,0,0,0,1
9.72,0,0,0,1
1.0,0,0,0,1
12.0,0,0,0,1
75.17,0,0,0,1
17.99,0,0,0,1
291.36,0,0,0,1
25.0,0,0,0,1
8.5,0,0,0,1
30.41,0,0,0,1
15.0,0,0,0,1
0.89,0,0,0,1
102.0,0,0,0,1
27.34,0,0,0,1
158.0,0,0,0,1
35.64,0,0,0,1
1.29,0,0,0,1
1.0,0,0,0,1
67.1,0,0,0,1
2.98,0,0,0,1
11.46,0,0,0,1
3.98,0,0,0,1
6.85,0,0,0,1
1.48,0,0,0,1
24.99,0,0,0,1
41.96,0,0,0,1
30.0,0,0,0,1
530.85,0,0,0,1
74.22,0,0,0,1
16.83,0,0,0,1
2.99,0,0,0,1
2.67,0,0,0,1
317.25,0,0,0,1
23.97,0,0,0,1
8.84,0,0,0,1
5.95,0,0,0,1
986.31,0,0,0,1
10.08,0,0,0,1
35.95,0,0,0,1
11.22,0,0,0,1
206.77,0,0,0,1
1.0,0,0,0,1
11.45,0,0,0,1
3.95,0,0,0,1
17.68,0,0,0,1
22.24,0,0,0,1
9.23,0,0,0,1
242.15,0,0,0,1
50.2,0,0,0,1
8.99,0,0,0,1
9.99,0,0,0,1
149.9,0,0,0,1
0.89,0,0,0,1
10.99,0,0,0,1
48.0,0,0,0,1
9.99,0,0,0,1
12.9,0,0,0,1
18.56,0,0,0,1
15.25,0,0,0,1
9.99,0,0,0,1
2.89,0,0,0,1
8.98,0,0,0,1
158.0,0,0,0,1
12.0,0,0,0,1
131.37,0,0,0,1
0.76,0,0,0,1
1.29,0,0,0,1
26.72,0,0,0,1
80.0,0,0,0,1
5.98,0,0,0,1
12.36,0,0,0,1
13.79,0,0,0,1
145.56,0,0,0,1
18.0,0,0,0,1
10.77,0,0,0,1
4.49,0,0,0,1
29.56,0,0,0,1
0.01,0,0,0,1
275.89,0,0,0,1
1.0,0,0,0,1
15.0,0,0,0,1
50.0,0,0,0,1
470.88,0,0,0,1
2.69,0,0,0,1
11.46,0,0,0,1
605.5,0,0,0,1
0.99,0,0,0,1
55.61,0,0,0,1
0.89,0,0,0,1
11.98,0,0,0,1
2.72,0,0,0,1
120.02,0,0,0,1
10.8,0,0,0,1
79.95,0,0,0,1
1.79,0,0,0,1
26.57,0,0,0,1
10.0,0,0,0,1
134.7,0,0,0,1
17.5,0,0,0,1
69.99,0,0,0,1
15.0,0,0,0,1
11.97,0,0,0,1
69.99,0,0,0,1
47.85,0,0,0,1
59.9,0,0,0,1
174.88,0,0,0,1
19.98,0,0,0,1
99.0,0,0,0,1
8.38,0,0,0,1
2.68,0,0,0,1
21.5,0,0,0,1
12.99,0,0,0,1
24.9,0,0,0,1
25.99,0,0,0,1
105.16,0,0,0,1
1.98,0,0,0,1
1.0,0,0,0,1
1.78,0,0,0,1
9.99,0,0,0,1
10.99,0,0,0,1
30.5,0,0,0,1
56.0,0,0,0,1
4.0,0,0,0,1
223.25,0,0,0,1
1.98,0,0,0,1
79.0,0,0,0,1
57.64,0,0,0,1
16.98,0,0,0,1
1.0,0,0,0,1
24.99,0,0,0,1
29.35,0,0,0,1
68.7,0,0,0,1
29.9,0,0,0,1
32.51,0,0,0,1
29.48,0,0,0,1
2.5,0,0,0,1
37.99,0,0,0,1
4.88,0,0,0,1
5.26,0,0,0,1
25.98,0,0,0,1
54.8,0,0,0,1
125.86,0,0,0,1
75.93,0,0,0,1
589.21,0,0,0,1
13.99,0,0,0,1
1.79,0,0,0,1
114.34,0,0,0,1
204.0,0,0,0,1
1.18,0,0,0,1
23.43,0,0,0,1
8.99,0,0,0,1
18.56,0,0,0,1
28.14,0,0,0,1
0.77,0,0,0,1
4.52,0,0,0,1
12.0,0,0,0,1
4.95,0,0,0,1
1.0,0,0,0,1
4.2,0,0,0,1
4.99,0,0,0,1
9.9,0,0,0,1
0.05,0,0,0,1
15.79,0,0,0,1
1.0,0,0,0,1
24.9,0,0,0,1
1602.99,0,0,0,1
8.99,0,0,0,1
7.04,0,0,0,1
158.0,0,0,0,1
1.0,0,0,0,1
1.78,0,0,0,1
8.9,0,0,0,1
117.28,0,0,0,1
15.0,0,0,0,1
99.0,0,0,0,1
19.54,0,0,0,1
60.0,0,0,0,1
73.0,0,0,0,1
0.05,0,0,0,1
13.99,0,0,0,1
64.63,0,0,0,1
47.76,0,0,0,1
3.58,0,0,0,1
24.9,0,0,0,1
3.1,0,0,0,1
1.98,0,0,0,1
57.7,0,0,0,1
17.68,0,0,0,1
42.56,0,0,0,1
7.95,0,0,0,1
0.89,0,0,0,1
94.86,0,0,0,1
0.05,0,0,0,1
22.0,0,0,0,1
0.92,0,0,0,1
24.9,0,0,0,1
39.05,0,0,0,1
32.14,0,0,0,1
16.31,0,0,0,1
0.89,0,0,0,1
15.8,0,0,0,1
0.05,0,0,0,1
25.39,0,0,0,1
24.9,0,0,0,1
89.95,0,0,0,1
9.99,0,0,0,1
287.57,0,0,0,1
9.99,0,0,0,1
1.0,0,0,0,1
217.0,0,0,0,1
8.91,0,0,0,1
53.54,0,0,0,1
64.99,0,0,0,1
0.05,0,0,0,1
60.0,0,0,0,1
10.99,0,0,0,1
1.98,0,0,0,1
24.9,0,0,0,1
0.85,0,0,0,1
64.0,0,0,0,1
18.0,0,0,0,1
17.24,0,0,0,1
22.61,0,0,0,1
18.56,0,0,0,1
23.43,0,0,0,1
15.38,0,0,0,1
171.32,0,0,0,1
143.9,0,0,0,1
24.38,0,0,0,1
1.29,0,0,0,1
4.99,0,0,0,1
6.55,0,0,0,1
1.0,0,0,0,1
25.0,0,0,0,1
9.87,0,0,0,1
25.0,0,0,0,1
0.0,0,0,0,1
12.15,0,0,0,1
0.77,0,0,0,1
13.98,0,0,0,1
33.99,0,0,0,1
24.95,0,0,0,1
0.89,0,0,0,1
69.97,0,0,0,1
8.99,0,0,0,1
5.0,0,0,0,1
9.99,0,0,0,1
9.48,0,0,0,1
467.74,0,0,0,1
8.96,0,0,0,1
51.45,0,0,0,1
5.0,0,0,0,1
1.46,0,0,0,1
5.0,0,0,0,1
767.7,0,0,0,1
87.47,0,0,0,1
131.95,0,0,0,1
179.84,0,0,0,1
0.76,0,0,0,1
9.44,0,0,0,1
8.99,0,0,0,1
4.49,0,0,0,1
13.94,0,0,0,1
1.98,0,0,0,1
500.0,0,0,0,1
5.45,0,0,0,1
9.95,0,0,0,1
0.89,0,0,0,1
0.89,0,0,0,1
94.65,0,0,0,1
10.38,0,0,0,1
15.15,0,0,0,1
25.3,0,0,0,1
1.98,0,0,0,1
25.85,0,0,0,1
220.28,0,0,0,1
9.99,0,0,0,1
294.95,0,0,0,1
29.99,0,0,0,1
8.12,0,0,0,1
25.95,0,0,0,1
11.98,0,0,0,1
16.5,0,0,0,1
11.5,0,0,0,1
153.0,0,0,0,1
138.0,0,0,0,1
0.1,0,0,0,1
1.29,0,0,0,1
47.9,0,0,0,1
16.18,0,0,0,1
82.39,0,0,0,1
354.85,0,0,0,1
15.37,0,0,0,1
5.91,0,0,0,1
14.05,0,0,0,1
3.9,0,0,0,1
1.78,0,0,0,1
30.0,0,0,0,1
82.37,0,0,0,1
8.0,0,0,0,1
2.69,0,0,0,1
2.5,0,0,0,1
7.28,0,0,0,1
0.99,0,0,0,1
2.49,0,0,0,1
1.0,0,0,0,1
291.38,0,0,0,1
15.0,0,0,0,1
82.39,0,0,0,1
792.2,0,0,0,1
29.99,0,0,0,1
15.0,0,0,0,1
29.95,0,0,0,1
1.98,0,0,0,1
16.45,0,0,0,1
9.99,0,0,0,1
62.85,0,0,0,1
1.0,0,0,0,1
0.89,0,0,0,1
0.76,0,0,0,1
39.09,0,0,0,1
112.38,0,0,0,1
1.98,0,0,0,1
1.78,0,0,0,1
41.4,0,0,0,1
8.94,0,0,0,1
78.44,0,0,0,1
1528.9,0,0,0,1
17.87,0,0,0,1
88.88,0,0,0,1
29.0,0,0,0,1
237.98,0,0,0,1
9.73,0,0,0,1
8.0,0,0,0,1
1.0,0,0,0,1
14.2,0,0,0,1
5.07,0,0,0,1
37.5,0,0,0,1
203.83,0,0,0,1
5.42,0,0,0,1
9.95,0,0,0,1
7.69,0,0,0,1
11.38,0,0,0,1
1.29,0,0,0,1
197.16,0,0,0,1
52.93,0,0,0,1
44.91,0,0,0,1
3.37,0,0,0,1
25.54,0,0,0,1
7.82,0,0,0,1
9.31,0,0,0,1
0.89,0,0,0,1
34.6,0,0,0,1
7.99,0,0,0,1
1.98,0,0,0,1
11.99,0,0,0,1
34.9,0,0,0,1
34.95,0,0,0,1
1.0,0,0,0,1
0.0,0,0,0,1
13.0,0,0,0,1
8.9,0,0,0,1
1.0,0,0,0,1
74.64,0,0,0,1
352.89,0,0,0,1
45.9,0,0,0,1
6.0,0,0,0,1
5.35,0,0,0,1
9.99,0,0,0,1
74.22,0,0,0,1
5.8,0,0,0,1
8.04,0,0,0,1
0.0,0,0,0,1
309.0,0,0,0,1
82.5,0,0,0,1
156.04,0,0,0,1
128.68,0,0,0,1
17.5,0,0,0,1
9.0,0,0,0,1
144.0,0,0,0,1
11.5,0,0,0,1
186.14,0,0,0,1
11.45,0,0,0,1
8.0,0,0,0,1
55.0,0,0,0,1
59.0,0,0,0,1
0.89,0,0,0,1
56.86,0,0,0,1
10.0,0,0,0,1
293.34,0,0,0,1
8.99,0,0,0,1
6.1,0,0,0,1
6.99,0,0,0,1
14.99,0,0,0,1
0.46,0,0,0,1
1.0,0,0,0,1
201.1,0,0,0,1
1.49,0,0,0,1
8.97,0,0,0,1
1.0,0,0,0,1
2.34,0,0,0,1
21.03,0,0,0,1
196.46,0,0,0,1
23.9,0,0,0,1
2.49,0,0,0,1
1.79,0,0,0,1
13.27,0,0,0,1
10.0,0,0,0,1
418.48,0,0,0,1
15.0,0,0,0,1
1.0,0,0,0,1
1.98,0,0,0,1
148.59,0,0,0,1
128.0,0,0,0,1
188.0,0,0,0,1
102.9,0,0,0,1
17.28,0,0,0,1
7.8,0,0,0,1
1.0,0,0,0,1
28.9,0,0,0,1
15.3,0,0,0,1
8.99,0,0,0,1
15.17,0,0,0,1
6.56,0,0,0,1
158.0,0,0,0,1
7.19,0,0,0,1
1.0,0,0,0,1
7.69,0,0,0,1
13.31,0,0,0,1
20.53,0,0,0,1
8.9,0,0,0,1
18.8,0,0,0,1
69.7,0,0,0,1
19.51,0,0,0,1
93.82,0,0,0,1
107.9,0,0,0,1
7.65,0,0,0,1
139.95,0,0,0,1
1.29,0,0,0,1
158.0,0,0,0,1
21.98,0,0,0,1
6.95,0,0,0,1
135.98,0,0,0,1
4.04,0,0,0,1
13.27,0,0,0,1
14.81,0,0,0,1
158.0,0,0,0,1
1.0,0,0,0,1
38.0,0,0,0,1
2.72,0,0,0,1
158.0,0,0,0,1
42.35,0,0,0,1
1.0,0,0,0,1
57.0,0,0,0,1
268.13,0,0,0,1
89.9,0,0,0,1
1.0,0,0,0,1
75.13,0,0,0,1
0.89,0,0,0,1
22.79,0,0,0,1
2.69,0,0,0,1
